instance_id,dataset_path,seed,jobs,machines,work_centers,machines_per_work_center,ddt,arrival_rate,method,tardiness_rate,makespan,mean_machine_utilization,corrective_maintenance_actions,preventive_maintenance_actions,energy_consumption,status,error,split,training_seed
j20_m15_ddt0.5_arr200_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed505.ini,505,20,15,5,3,0.5,200,LRT_DR_O,0.4397590361445783,3208,30.519534497090607,1.0,0.0,7956.620000000001,ok,,validation,
j20_m15_ddt0.5_arr200_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed505.ini,505,20,15,5,3,0.5,200,SPT_DR_O,0.43373493975903615,3222,30.039313056072842,1.0,0.0,7777.4000000000015,ok,,validation,
j20_m15_ddt0.5_arr200_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed505.ini,505,20,15,5,3,0.5,200,EDD_DR_O,0.4397590361445783,3208,30.519534497090607,1.0,0.0,7956.620000000001,ok,,validation,
j20_m15_ddt0.5_arr200_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed505.ini,505,20,15,5,3,0.5,200,MCR_DR_O,0.4457831325301205,3361,28.802935634235837,1.0,0.0,7782.670000000003,ok,,validation,
j20_m15_ddt0.5_arr200_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed505.ini,505,20,15,5,3,0.5,200,CR_DR_O,0.4578313253012048,3320,29.546184738955823,1.0,0.0,7879.5,ok,,validation,
j20_m15_ddt0.5_arr200_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed505.ini,505,20,15,5,3,0.5,200,ATC_DR_O,0.45180722891566266,3356,29.02065951529599,1.0,0.0,7828.420000000002,ok,,validation,
j20_m15_ddt0.5_arr200_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed505.ini,505,20,15,5,3,0.5,200,LSPO_DR_O,0.45180722891566266,3249,30.083102493074794,1.0,0.0,7797.579999999998,ok,,validation,
j20_m15_ddt0.5_arr200_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed505.ini,505,20,15,5,3,0.5,200,SLK_DR_O,0.4578313253012048,3308,29.667472793228537,1.0,0.0,7923.120000000001,ok,,validation,
j20_m15_ddt0.5_arr200_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed606.ini,606,20,15,5,3,0.5,200,MRT_DR_O,0.48214285714285715,2038,49.83971213608112,0.0,0.0,7355.730000000001,ok,,validation,
j20_m15_ddt0.5_arr200_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed606.ini,606,20,15,5,3,0.5,200,LRT_DR_O,0.47619047619047616,2064,49.05361757105943,0.0,0.0,7404.659999999998,ok,,validation,
j20_m15_ddt0.5_arr200_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed606.ini,606,20,15,5,3,0.5,200,SPT_DR_O,0.44642857142857145,2095,47.60859188544153,0.0,0.0,7255.689999999998,ok,,validation,
j20_m15_ddt0.5_arr200_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed606.ini,606,20,15,5,3,0.5,200,EDD_DR_O,0.48214285714285715,2011,50.535388695508054,0.0,0.0,7374.280000000001,ok,,validation,
j20_m15_ddt0.5_arr200_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed606.ini,606,20,15,5,3,0.5,200,MCR_DR_O,0.4583333333333333,2063,49.326223945710126,1.0,0.0,7350.479999999999,ok,,validation,
j20_m15_ddt0.5_arr200_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed606.ini,606,20,15,5,3,0.5,200,CR_DR_O,0.48214285714285715,2031,49.660265878877404,0.0,0.0,7440.429999999996,ok,,validation,
j20_m15_ddt0.5_arr200_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed606.ini,606,20,15,5,3,0.5,200,ATC_DR_O,0.4523809523809524,2095,47.952267303102616,0.0,0.0,7222.329999999998,ok,,validation,
j20_m15_ddt0.5_arr200_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed606.ini,606,20,15,5,3,0.5,200,LSPO_DR_O,0.4880952380952381,2031,49.148202855736095,0.0,0.0,7155.769999999999,ok,,validation,
j20_m15_ddt0.5_arr200_seed606,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt0.5_arr200_seed606.ini,606,20,15,5,3,0.5,200,SLK_DR_O,0.47619047619047616,2031,49.286065977351065,0.0,0.0,7273.4699999999975,ok,,validation,
j20_m15_ddt1_arr50_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt1_arr50_seed505.ini,505,20,15,5,3,1.0,50,MRT_DR_O,0.05421686746987952,1391,71.64150491253295,0.0,0.0,7768.56,ok,,validation,
j20_m15_ddt1_arr50_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt1_arr50_seed505.ini,505,20,15,5,3,1.0,50,LRT_DR_O,0.04819277108433735,1513,64.98788279356688,0.0,0.0,7793.359999999998,ok,,validation,
j20_m15_ddt1_arr50_seed505,outputs/expanded-dense-multiseed-20260721/dense/validation/datasets/j20_m15_ddt1_arr50_seed505.ini,505,20,15,5,3,1.0,50,SPT_DR_O,0.06626506024096386,1533,63.65731680800174,0.0,0.0,7692.29,ok,,validation,
